date,VTI,XLK,XLE,XLV,VLUE,MTUM,USMV,SPHQ,AAA,AAB,BBA,BBB,CCA,DDD
2025-06-05,0.0035000000,0.0066474383,0.0098284727,-0.0009587755,0.0048792080,0.0081292116,0.0049283096,0.0067062796,0.0082385019,0.0092663605,0.0175234039,0.0173044610,0.0070017982,0.0089026056
2025-06-06,0.0057798776,0.0099189846,0.0118391446,0.0012474988,0.0077985895,0.0112982788,0.0066328486,0.0082078761,0.0153601611,0.0154764042,0.0197914156,0.0191771238,0.0094766191,0.0098085371
2025-06-09,0.0078255555,0.0128336206,0.0133458274,0.0033343268,0.0103676220,0.0138554449,0.0080834809,0.0094357516,0.0212314621,0.0204253204,0.0203173833,0.0194139251,0.0113051504,0.0101015967
2025-06-10,0.0094398332,0.0151621823,0.0141943200,0.0051493633,0.0123740657,0.0155605708,0.0091563233,0.0102512820,0.0249495015,0.0235315085,0.0190635595,0.0181082990,0.0123499336,0.0098174318
2025-06-11,0.0104651955,0.0167210125,0.0142763402,0.0065681810,0.0136499006,0.0162446930,0.0097551021,0.0105475885,0.0260189559,0.0245083498,0.0162371260,0.0155374625,0.0125434995,0.0090463389
2025-06-12,0.0107988470,0.0173882742,0.0135409349,0.0075052823,0.0140859705,0.0158263219,0.0098200495,0.0102604165,0.0244298205,0.0233740626,0.0122592641,0.0121076776,0.0118945327,0.0079179544
2025-06-13,0.0104025377,0.0171146675,0.0120010727,0.0079213665,0.0136415261,0.0143200086,0.0093336079,0.0093751039,0.0206247863,0.0204137221,0.0076947989,0.0082837138,0.0104871791,0.0065828196
2025-06-16,0.0093062415,0.0159275562,0.0097347122,0.0078261773,0.0123478024,0.0118363069,0.0083223969,0.0079289556,0.0153719813,0.0161088779,0.0031554528,0.0045155327,0.0084735041,0.0051932991
2025-06-17,0.0076053383,0.0139281272,0.0068801459,0.0072766739,0.0103053074,0.0085730391,0.0068552467,0.0060087712,0.0095820180,0.0110524727,-0.0008041721,0.0011748911,0.0060597320,0.0038862305
2025-06-18,0.0054515672,0.0112818611,0.0036259419,0.0063707143,0.0076750688,0.0047985696,0.0050374643,0.0037437362,0.0041188112,0.0058643505,-0.0037769348,-0.0014881390,0.0034874669,0.0027692941
2025-06-19,0.0030386130,0.0082032213,0.0001963067,0.0052368707,0.0046646306,0.0008285314,0.0030018517,0.0012943248,-0.0003507332,0.0011174531,-0.0055618189,-0.0033631659,0.0010115656,0.0019124722
2025-06-20,0.0005837006,0.0049360076,-0.0031668805,0.0040213605,0.0015100655,-0.0030019407,0.0008972934,-0.0011617590,-0.0034396753,-0.0027207453,-0.0061799780,-0.0044716114,-0.0011233505,0.0013452042
2025-06-23,-0.0016930492,0.0017312270,-0.0062237971,0.0028733544,-0.0015443726,-0.0063679863,-0.0011240408,-0.0034452907,-0.0050506785,-0.0053308856,-0.0058467154,-0.0049374706,-0.0027056156,0.0010590564
2025-06-24,-0.0035895344,-0.0011754399,-0.0087564339,0.0019300755,-0.0042671300,-0.0089841191,-0.0029197081,-0.0053914201,-0.0053270737,-0.0065690035,-0.0049075962,-0.0049447703,-0.0035763935,0.0010149999
2025-06-25,-0.0049408635,-0.0035844668,-0.0105866294,0.0013031206,-0.0064588990,-0.0106300061,-0.0043690320,-0.0068642629,-0.0045726311,-0.0064779337,-0.0037543783,-0.0046914643,-0.0036448718,0.0011538361
2025-06-26,-0.0056349948,-0.0053496638,-0.0115907814,0.0010673207,-0.0079690962,-0.0111705671,-0.0053830739,-0.0077688289,-0.0031687282,-0.0052804061,-0.0027400479,-0.0043490596,-0.0028973511,0.0014079810
2025-06-27,-0.0056233330,-0.0063901273,-0.0117099303,0.0012532093,-0.0087078316,-0.0105685385,-0.0059116418,-0.0080591718,-0.0015091442,-0.0033504508,-0.0021112206,-0.0040349745,-0.0013993478,0.0017127596
2025-06-30,-0.0049252737,-0.0066958726,-0.0109543250,0.0018438263,-0.0086523501,-0.0088883187,-0.0059467176,-0.0077420069,0.0000409263,-0.0011612090,-0.0019709407,-0.0038011402,0.0007095390,0.0020155624
2025-07-01,-0.0036262619,-0.0063266704,-0.0094020799,0.0027761659,-0.0078474386,-0.0062907021,-0.0055220251,-0.0068754697,0.0011677151,0.0007884367,-0.0022769488,-0.0036385276,0.0032275931,0.0022816432
2025-07-02,-0.0018695511,-0.0054042576,-0.0071920631,0.0039471353,-0.0063998505,-0.0030189324,-0.0047088196,-0.0055631478,0.0016262074,0.0020597535,-0.0028718863,-0.0034939734,0.0059087493,0.0024959219
2025-07-03,0.0001575510,-0.0040987217,-0.0045116779,0.0052234572,-0.0044673427,0.0006227019,-0.0036083365,-0.0039439647,0.0012627761,0.0023577810,-0.0035348164,-0.0032935766,0.0084845967,0.0026608116
2025-07-04,0.0022416394,-0.0026104126,-0.0015806526,0.0064545714,-0.0022434080,0.0042958269,-0.0023416429,-0.0021788831,0.0000452749,0.0015943201,-0.0040395558,-0.0029663921,0.0106886549,0.0027907179
2025-07-07,0.0041636578,-0.0011491589,0.0013676909,0.0074873043,0.0000608327,0.0076580816,-0.0010378762,-0.0004356977,-0.0019083369,-0.0000870449,-0.0042053741,-0.0024631067,0.0122807364,0.0029043774
2025-07-08,0.0057198842,0.0000871862,0.0041060048,0.0081809017,0.0022358764,0.0103936526,0.0001780026,0.0011266399,-0.0043196212,-0.0023348417,-0.0039293270,-0.0017664672,0.0130691869,0.0030165279
2025-07-09,0.0067414559,0.0009327826,0.0064315750,0.0084209868,0.0040924350,0.0122414918,0.0011967782,0.0023726791,-0.0067745478,-0.0046626692,-0.0031955823,-0.0008927928,0.0129289667,0.0031304990
2025-07-10,0.0071105710,0.0012704843,0.0081824291,0.0081311032,0.0054776899,0.0130186736,0.0019347835,0.0032027271,-0.0087919056,-0.0065587001,-0.0020637446,0.0001137411,0.0118139047,0.0032331604
2025-07-11,0.0067718213,0.0010435504,0.0092495019,0.0072807344,0.0062877513,0.0126367827,0.0023410253,0.0035615557,-0.0099282440,-0.0076081886,-0.0006435229,0.0011908076,0.0097619678,0.0032932893
2025-07-14,0.0057375768,0.0002612574,0.0095838468,0.0058890217,0.0064752502,0.0111098539,0.0024009853,0.0034427486,-0.0098960685,-0.0075995249,0.0009342912,0.0022679641,0.0068930171,0.0032638739
2025-07-15,0.0040869065,-0.0010021270,0.0091983467,0.0040238146,0.0060514663,0.0085531508,0.0021367757,0.0028883009,-0.0086612437,-0.0065858591,0.0025411922,0.0032740812,0.0033991985,0.0030882281
2025-07-16,0.0019581392,-0.0026149027,0.0081638969,0.0017961304,0.0050829167,0.0051728986,0.0016036784,0.0019835358,-0.0064853894,-0.0048835202,0.0040627981,0.0041407915,-0.0004712170,0.0027091604
2025-07-17,-0.0004642281,-0.0044012927,0.0066005389,-0.0006494646,0.0036828596,0.0012479046,0.0008834507,0.0008478524,-0.0038910859,-0.0030034890,0.0053983294,0.0048024476,-0.0044351288,0.0020798877
2025-07-18,-0.0029670257,-0.0061592962,0.0046644866,-0.0031476497,0.0019986399,-0.0028952657,0.0000750859,-0.0003777838,-0.0015491381,-0.0015293168,0.0064518633,0.0051946638,-0.0081991509,0.0011750248
2025-07-21,-0.0053286438,-0.0076813038,0.0025323525,-0.0055271171,0.0001961838,-0.0069113129,-0.0007160342,-0.0015453840,-0.0001115322,-0.0009695497,0.0071227676,0.0052542978,-0.0114852140,-0.0000001632
2025-07-22,-0.0073400738,-0.0087754669,0.0003841185,-0.0076259199,-0.0015567974,-0.0104668046,-0.0013895099,-0.0025150983,-0.0000330384,-0.0016207800,0.0073032207,0.0049234479,-0.0140549242,-0.0014039197
2025-07-23,-0.0088247522,-0.0092857387,-0.0016135144,-0.0093059532,-0.0031072400,-0.0132695989,-0.0018606838,-0.0031695210,-0.0014317807,-0.0034764052,0.0068882707,0.0041587286,-0.0157304819,-0.0029568654
2025-07-24,-0.0096553163,-0.0091086211,-0.0033218283,-0.0104652035,-0.0043312011,-0.0150944507,-0.0020697201,-0.0034257521,-0.0040312914,-0.0062059562,0.0057992012,0.0029450963,-0.0164102607,-0.0045462739
2025-07-25,-0.0097656749,-0.0082049675,-0.0046414929,-0.0110466133,-0.0051449992,-0.0158025152,-0.0019881003,-0.0032440392,-0.0072052277,-0.0092128865,0.0040154990,0.0013113851,-0.0160776244,-0.0060357229
2025-07-28,-0.0091572426,-0.0066056569,-0.0055196608,-0.0110427301,-0.0055119890,-0.0153530278,-0.0016218864,-0.0026321574,-0.0101172186,-0.0117593296,0.0016062194,-0.0006568632,-0.0148021630,-0.0072793143
2025-07-29,-0.0078987454,-0.0044105419,-0.0059521806,-0.0104957092,-0.0054443881,-0.0138061542,-0.0010114188,-0.0016450929,-0.0119209727,-0.0131295627,-0.0012504518,-0.0028122010,-0.0127332113,-0.0081389447
2025-07-30,-0.0061196141,-0.0017807138,-0.0059808388,-0.0094926806,-0.0050000653,-0.0113168096,-0.0002274679,-0.0003800494,-0.0119682815,-0.0127941598,-0.0042692675,-0.0049517755,-0.0100862134,-0.0085025656
2025-07-31,-0.0039975981,0.0010752291,-0.0056860299,-0.0081569333,-0.0042747029,-0.0081200647,0.0006357954,0.0010327543,-0.0099702899,-0.0105365541,-0.0070868125,-0.0068374167,-0.0071231438,-0.0083010667
2025-08-01,-0.0017417791,0.0039196505,-0.0051756995,-0.0066357639,-0.0033901996,-0.0045095129,0.0014703311,0.0024426211,-0.0060709701,-0.0065129361,-0.0093155811,-0.0082281252,-0.0041287386,-0.0075214212
2025-08-04,0.0004273958,0.0065073631,-0.0045717615,-0.0050861558,-0.0024805497,-0.0008106023,0.0021653339,0.0036930474,-0.0008166964,-0.0012325421,-0.0106143492,-0.0089204685,-0.0013846754,-0.0062140429
2025-08-05,0.0022991567,0.0086081189,-0.0039954293,-0.0036596575,-0.0016766737,0.0026486241,0.0026188249,0.0046371263,0.0049656921,0.0045358594,-0.0107603042,-0.0087896823,0.0008559662,-0.0044929129
2025-08-06,0.0036925248,0.0100279862,-0.0035529904,-0.0024879042,-0.0010917724,0.0055667198,0.0027485876,0.0051521994,0.0103466290,0.0099089016,-0.0097060363,-0.0078228917,0.0023916524,-0.0025278619
2025-08-07,0.0044735777,0.0106275911,-0.0033234990,-0.0016701639,-0.0008087129,0.0076953282,0.0025013634,0.0051523463,0.0144801709,0.0140522452,-0.0076063273,-0.0061362950,0.0030906656,-0.0005293595
2025-08-08,0.0045682228,0.0103354935,-0.0033496536,-0.0012640934,-0.0008707462,0.0088606152,0.0018593811,0.0045974993,0.0167546647,0.0163282013,-0.0048055020,-0.0039704887,0.0029030325,0.0012728675
2025-08-11,0.0039692584,0.0091554180,-0.0036328005,-0.0012805807,-0.0012765118,0.0089777612,0.0008435454,0.0034982920,0.0168785157,0.0163989246,-0.0017846792,-0.0016620090,0.0018650142,0.0026552010
2025-08-12,0.0027370513,0.0071666401,-0.0041325783,-0.0016831614,-0.0019798529,0.0080572808,-0.0004870729,0.0019161532,0.0148931442,0.0142689501,0.0009224581,0.0004061141,0.0000957344,0.0034266574
2025-08-13,0.0009937654,0.0045174678,-0.0047712486,-0.0023920560,-0.0028944771,0.0062026965,-0.0020394503,-0.0000413928,0.0111253367,0.0102653281,0.0028290602,0.0018674157,-0.0022137652,0.0034534312
2025-08-14,-0.0010883083,0.0014124109,-0.0054422804,-0.0032924337,-0.0039030033,0.0035998809,-0.0036941768,-0.0022297986,0.0061038403,0.0049665285,0.0035892091,0.0024378662,-0.0048180666,0.0026783650
2025-08-15,-0.0033032073,-0.0019057782,-0.0060223160,-0.0042461058,-0.0048694925,0.0004991404,-0.0053157013,-0.0044801068,0.0004671961,-0.0009003565,0.0030667621,0.0019722949,-0.0074399370,0.0011326939
2025-08-18,-0.0054309701,-0.0051775247,-0.0063853027,-0.0051055185,-0.0056541970,-0.0028082404,-0.0067643214,-0.0066139307,-0.0051174875,-0.0065721146,0.0013641287,0.0005000411,-0.0097958732,-0.0010618035
2025-08-19,-0.0072586508,-0.0081493206,-0.0064173375,-0.0057287013,-0.0061290292,-0.0060167896,-0.0079088075,-0.0084594029,-0.0100174306,-0.0113525591,-0.0011952503,-0.0017682141,-0.0116223171,-0.0037010633
2025-08-20,-0.0086006697,-0.0105959568,-0.0060306877,-0.0059937278,-0.0061921653,-0.0088344945,-0.0086384848,-0.0098666012,-0.0136827846,-0.0146936359,-0.0041269507,-0.0044654376,-0.0127001642,-0.0065170159
2025-08-21,-0.0093165634,-0.0123400345,-0.0051755140,-0.0058112982,-0.0057802667,-0.0110087793,-0.0088736368,-0.0107210040,-0.0156905685,-0.0162490316,-0.0068753410,-0.0071221811,-0.0128753343,-0.0092042871
2025-08-22,-0.0093244377,-0.0132669538,-0.0038480310,-0.0051342265,-0.0048770235,-0.0123484749,-0.0085732459,-0.0109537165,-0.0157911919,-0.0159005341,-0.0089143328,-0.0092410539,-0.0120735284,-0.0114526408
2025-08-25,-0.0086088443,-0.0133340089,-0.0020941820,-0.0039629118,-0.0035170780,-0.0127398462,-0.0077393279,-0.0105475112,-0.0139560408,-0.0137602937,-0.0098387948,-0.0103792305,-0.0103078167,-0.0129816785
2025-08-26,-0.0072223272,-0.0125727752,-0.0000083317,-0.0023462580,-0.0017848308,-0.0121553117,-0.0064174344,-0.0095381199,-0.0104139075,-0.0101522401,-0.0094293592,-0.0102246872,-0.0076783478,-0.0135738836
2025-08-27,-0.0052804928,-0.0110846136,0.0022730295,-0.0003779374,0.0001918647,-0.0106541846,-0.0046932502,-0.0080106665,-0.0056570612,-0.0055744544,-0.0076800669,-0.0086527377,-0.0043641854,-0.0131021139
2025-08-28,-0.0029510719,-0.0090297626,0.0045820864,0.0018116611,0.0022526061,-0.0083755064,-0.0026855793,-0.0060915835,-0.0003988618,-0.0006430639,-0.0047868927,-0.0057528307,-0.0006079869,-0.0115481250
2025-08-29,-0.0004380174,-0.0066110989,0.0067340693,0.0040670436,0.0042189686,-0.0055237733,-0.0005363468,-0.0039367856,0.0045247262,0.0039812027,-0.0011034953,-0.0018208331,0.0033051101,-0.0090096062
2025-09-01,0.0020378477,-0.0040541426,0.0085438928,0.0062216912,0.0059113075,-0.0023489961,0.0016014762,-0.0017172210,0.0083001885,0.0076796410,0.0029234233,0.0026818817,0.0070725024,-0.0056944367
2025-09-02,0.0042597879,-0.0015852349,0.0098435170,0.0081132759,0.0071662407,0.0008769671,0.0035769235,0.0003968291,0.0103003971,0.0099663552,0.0068242696,0.0071954615,0.0104007895,-0.0019022973
2025-09-03,0.0060357198,0.0005900193,0.0104983855,0.0095985734,0.0078531229,0.0038855529,0.0052538704,0.0022512212,0.0102274897,0.0105692165,0.0101686534,0.0111433126,0.0130316983,0.0020047666
2025-09-04,0.0072164243,0.0023059874,0.0104213504,0.0105666589,0.0078878881,0.0064357617,0.0065224867,0.0037217336,0.0081938437,0.0094842175,0.0126102501,0.0140150068,0.0147649279,0.0056399064
2025-09-05,0.0077096710,0.0034520978,0.0095827076,0.0109491355,0.0072428659,0.0083353301,0.0073082668,0.0047248705,0.0047126121,0.0069877742,0.0139111972,0.0154372013,0.0154758595,0.0086331973
2025-09-08,0.0074889087,0.0039823601,0.0080153048,0.0107264248,0.0059515346,0.0094569095,0.0075778260,0.0052246825,0.0005921576,0.0035978028,0.0139484818,0.0152221103,0.0151265328,0.0106729576
2025-09-09,0.0065956928,0.0039184371,0.0058141324,0.0099295229,0.0041076437,0.0097478591,0.0073409562,0.0052349796,-0.0032444002,-0.0000151615,0.0127086015,0.0133874326,0.0137689032,0.0115419838
2025-09-10,0.0051356209,0.0033460096,0.0031303138,0.0086370554,0.0018586625,0.0092328791,0.0066487833,0.0048167559,-0.0059708224,-0.0031533033,0.0102778181,0.0101467435,0.0115400856,0.0111444517
2025-09-11,0.0032681625,0.0024048248,0.0001599310,0.0069679111,-0.0006059499,0.0080094004,0.0055882329,0.0040711019,-0.0070461752,-0.0052291299,0.0068335303,0.0058741749,0.0086500175,0.0095201611
2025-09-12,0.0011913545,0.0012734243,-0.0028713961,0.0050701541,-0.0030706618,0.0062363251,0.0042733538,0.0031283112,-0.0063306445,-0.0058853637,0.0026385427,0.0010508692,0.0053626547,0.0068441391
2025-09-15,-0.0008771795,0.0001500630,-0.0057268508,0.0031072655,-0.0053125738,0.0041173261,0.0028343388,0.0021342502,-0.0040989651,-0.0050685698,-0.0019642509,-0.0037973840,0.0019723965,0.0034112160
2025-09-16,-0.0027210743,-0.0007683076,-0.0081780782,0.0012430197,-0.0071212284,0.0018804030,0.0014052911,0.0012353200,-0.0009501628,-0.0030370093,-0.0065623966,-0.0081618803,-0.0012221333,-0.0003931273
2025-09-17,-0.0041459467,-0.0013069264,-0.0100244160,-0.0003735709,-0.0083177165,-0.0002442896,0.0001118952,0.0005634713,0.0023590231,-0.0002981038,-0.0106960408,-0.0116042573,-0.0039445879,-0.0041327553
2025-09-18,-0.0049980205,-0.0013319334,-0.0111099798,-0.0016218188,-0.0087713124,-0.0020462037,-0.0009398518,0.0002227262,0.0051095183,0.0025119507,-0.0138960520,-0.0137961050,-0.0059652986,-0.0073675376
2025-09-19,-0.0051788762,-0.0007650612,-0.0113370679,-0.0024201500,-0.0084120796,-0.0033536947,-0.0016727998,0.0002785120,0.0067908708,0.0047789732,-0.0157378980,-0.0145427808,-0.0071213842,-0.0097016375
2025-09-22,-0.0046549210,0.0004071447,-0.0106746723,-0.0027331021,-0.0072382396,-0.0040490771,-0.0020448603,0.0007508438,0.0072045493,0.0060560119,-0.0159053253,-0.0137919489,-0.0073307701,-0.0108280929
2025-09-23,-0.0034606731,0.0021305061,-0.0091613245,-0.0025738805,-0.0053175691,-0.0040781044,-0.0020517252,0.0016120166,0.0064782947,0.0061674407,-0.0142526852,-0.0116291675,-0.0065988706,-0.0105646411
2025-09-24,-0.0016955489,0.0042871026,-0.0069020121,-0.0020022407,-0.0027826305,-0.0034531029,-0.0017258790,0.0027890390,0.0049967746,0.0052459987,-0.0108518091,-0.0082635755,-0.0050173555,-0.0088766107
2025-09-25,0.0004855417,0.0067055370,-0.0040594348,-0.0011179173,0.0001797948,-0.0022496125,-0.0011320500,0.0041705774,0.0032764996,0.0036933196,-0.0060098864,-0.0040064884,-0.0027551353,-0.0058840587
2025-09-26,0.0028868963,0.0091766232,-0.0008403832,-0.0000502379,0.0033441699,-0.0005970203,-0.0003595880,0.0056177503,0.0018251225,0.0020736397,-0.0002491321,0.0007551360,-0.0000424052,-0.0018520348
2025-09-29,0.0052906150,0.0114730174,0.0025215447,0.0010550698,0.0064652084,0.0013357595,0.0004874516,0.0069777376,0.0010240683,0.0009671663,0.0057535799,0.0055893468,0.0028507892,0.0028352872
2025-09-30,0.0074773179,0.0133709301,0.0057853447,0.0020506061,0.0092987410,0.0033580452,0.0013015199,0.0080988957,0.0010606756,0.0008196117,0.0112601533,0.0100535120,0.0056395075,0.0077140540
2025-10-01,0.0092470101,0.0146718446,0.0087224011,0.0028021442,0.0116225817,0.0052767692,0.0019829680,0.0088459244,0.0019171703,0.0018250642,0.0155827509,0.0137317089,0.0080501235,0.0122896423
