ticker,full_name,sector,market_cap,composite_percentile,pe_percentile,pb_percentile,ps_percentile,beta
GE,GE Aerospace (GE),Industrials,357603409920,95.319,87.467,99.98,98.509,0.399662
WDC,Western Digital Corporation (WDC),Technology,225260126208,89.572,68.754,99.98,99.98,0.816311
ANET,Arista Networks (ANET),Technology,212912947200,93.95,89.761,95.925,96.163,0.610607
GLW,Corning Incorporated (GLW),Technology,161696645120,93.965,83.922,99.066,98.907,1.0309
BTI,British American Tobacco p.l.c. (BTI),Consumer Defensive,131943669760,94.202,99.225,84.155,99.225,0.215583
MO,Altria Group (MO),Consumer Defensive,116207722496,88.85,79.389,,98.31,0.261059
CM,Canadian Imperial Bank Of Commerce (CM),Financial Services,103758053376,91.962,93.897,95.249,86.74,0.107178
BE,Bloom Energy Corp (BE),Industrials,78079844352,95.407,,91.798,99.017,0.877506
COHR,Coherent Inc (COHR),Technology,77838041088,93.898,83.005,99.026,99.662,0.948825
LITE,Lumentum Holdings Inc (LITE),Technology,74474053632,89.682,76.083,94.692,98.27,0.973399
CRH,CRH PLC ADR (CRH),Basic Materials,73228058624,90.172,81.253,93.976,95.288,0.227119
AEP,American Electric Power Co Inc (AEP),Utilities,70358220800,92.677,81.054,99.185,97.793,0.135369
CIEN,Ciena Corp (CIEN),Technology,65597042688,94.273,87.231,97.873,97.714,1.06545
SRE,Sempra Energy (SRE),Utilities,60095320064,90.404,83.775,90.915,96.521,0.119069
AFL,Aflac Incorporated (AFL),Financial Services,59530874880,93.724,86.74,99.742,94.692,0.125644
AME,Ametek Inc (AME),Industrials,52819832832,95.381,94.573,93.777,97.793,0.208244
ETR,Entergy Corporation (ETR),Utilities,50862071808,95.495,88.712,98.907,98.867,0.423554
EME,EMCOR Group Inc (EME),Industrials,37509779456,94.864,89.722,96.998,97.873,0.743824
WEC,WEC Energy Group Inc (WEC),Utilities,37132726272,95.235,95.249,95.964,94.493,0.166692
DTE,DTE Energy Company (DTE),Utilities,30796511232,92.174,94.533,96.521,85.467,0.104126
MTZ,MasTec Inc (MTZ),Industrials,29383051264,93.86,84.64,98.549,98.39,0.42042
CNP,CenterPoint Energy Inc (CNP),Utilities,28175079424,93.468,92.214,88.767,99.424,0.116747
NI,NiSource Inc (NI),Utilities,22758981632,91.035,75.093,99.264,98.748,0.237649
WCC,WESCO International Inc (WCC),Industrials,16939074560,95.01,86.183,99.424,99.424,0.338259
EMA,Emera Incorporated (EMA),Other,16157637632,91.219,77.634,96.759,99.264,0.135924
DY,Dycom Industries Inc (DY),Industrials,14153825280,92.929,81.292,98.907,98.589,0.587761
APLD,Applied Digital Corporation (APLD),Technology,13282568192,90.386,,89.867,90.906,1.26912
AIT,Applied Industrial Technologies (AIT),Industrials,11685867520,94.066,82.239,99.98,99.98,0.156973
