Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
NVIDIA CORP,NVDA,67066G104,2379504,7.800944,-,296090157,USD
APPLE INC,AAPL,037833100,2046251,6.88091,-,179548856,USD
MICROSOFT CORP,MSFT,594918104,2588173,5.521826,-,90809659,USD
AMAZON.COM INC,AMZN,023135106,2000019,3.86348,-,119673140,USD
ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,3.075694,-,71683982,USD
BROADCOM INC,AVGO,11135F101,BDZ78H9,2.553484,-,57881490,USD
ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,2.453263,-,57780076,USD
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,1.892504,-,26846162,USD
MICRON TECHNOLOGY INC,MU,595112103,2588184,1.590535,-,13785858,USD
TESLA INC,TSLA,88160R101,B616C79,1.490616,-,34414859,USD
ELI LILLY + CO,LLY,532457108,2516152,1.475252,-,9670058,USD
JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.444808,-,32755002,USD
BERKSHIRE HATHAWAY INC CL B,BRK.B,084670702,2073390,1.397691,-,22411109,USD
ADVANCED MICRO DEVICES,AMD,007903107,2007849,1.181137,-,19932421,USD
EXXONMOBIL HOLDINGS CORP,XOM,30233Q108,BVSRPD7,1.006486,-,50665528,USD
JOHNSON + JOHNSON,JNJ,478160104,2475833,0.993871,-,29424084,USD
VISA INC CLASS A SHARES,V,92826C839,B2PZN04,0.963648,-,20285578,USD
MASTERCARD INC   A,MA,57636Q104,B121557,0.730966,-,9861895,USD
ABBVIE INC,ABBV,00287Y109,B92SR70,0.709764,-,21594025,USD
WALMART INC,WMT,931142103,2936921,0.698299,-,53584781,USD
CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.66333,-,48276378,USD
INTEL CORP,INTC,458140100,2463247,0.653041,-,60365702,USD
COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.643732,-,5422351,USD
BANK OF AMERICA CORP,BAC,060505104,2295677,0.616049,-,79795851,USD
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,0.599376,-,28060161,USD
LAM RESEARCH CORP,LRCX,512807306,BSML4N7,0.594946,-,15289535,USD
MERCK + CO. INC.,MRK,58933Y105,2778844,0.584169,-,30194038,USD
APPLIED MATERIALS INC,AMAT,038222105,2046552,0.576019,-,9703261,USD
CHEVRON CORP,CVX,166764100,2838555,0.565571,-,22879931,USD
CATERPILLAR INC,CAT,149123101,2180201,0.564763,-,5629222,USD
GENERAL ELECTRIC,GE,369604301,BL59CR9,0.551178,-,12751272,USD
UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,0.544326,-,11098785,USD
COCA COLA CO/THE,KO,191216100,2206657,0.536254,-,47319913,USD
NETFLIX INC,NFLX,64110L106,2857817,0.523251,-,51456236,USD
PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.511656,-,28455891,USD
HOME DEPOT INC,HD,437076102,2434209,0.508571,-,12171596,USD
GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,0.47204,-,3604876,USD
PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,0.456744,-,19046218,USD
RTX CORP,RTX,75513E101,BM5M5Y3,0.428099,-,16462852,USD
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,0.416587,-,9910898,USD
MORGAN STANLEY,MS,617446448,2262314,0.392663,-,14648035,USD
WELLS FARGO + CO,WFC,949746101,2649100,0.392104,-,37395111,USD
GE VERNOVA INC,GEV,36828A101,BP6H4Y1,0.376606,-,3286185,USD
ORACLE CORP,ORCL,68389X105,2661568,0.371471,-,20750805,USD
KLA CORP,KLAC,482480100,2480138,0.362035,-,15968062,USD
AMGEN INC,AMGN,031162100,2023607,0.360854,-,6598294,USD
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,0.357759,-,11124789,USD
THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.352841,-,4542284,USD
CITIGROUP INC,C,172967424,2297907,0.343417,-,20840754,USD
LINDE PLC,LIN,G54950103,BNZHB81,0.340357,-,5649182,USD
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.332584,-,11483951,USD
SANDISK CORP,SNDK,80004C200,BSNPZV3,0.331637,-,1811063,USD
MARVELL TECHNOLOGY INC,MRVL,573874104,BNKJSM5,0.317982,-,10697000,USD
VERIZON COMMUNICATIONS INC,VZ,92343V104,2090571,0.317129,-,51033812,USD
ABBOTT LABORATORIES,ABT,002824100,2002305,0.305721,-,21288206,USD
ARISTA NETWORKS INC,ANET,040413205,BL9XPM3,0.297988,-,12620028,USD
AMPHENOL CORP CL A,APH,032095101,2145084,0.295244,-,15036410,USD
PEPSICO INC,PEP,713448108,2681511,0.293888,-,16704229,USD
WALT DISNEY CO/THE,DIS,254687106,2270726,0.291967,-,21222285,USD
MCDONALD S CORP,MCD,580135101,2550707,0.287905,-,8683828,USD
CROWDSTRIKE HOLDINGS INC   A,CRWD,22788C105,BJJP138,0.285303,-,12445182,USD
GILEAD SCIENCES INC,GILD,375558103,2369174,0.279138,-,15172685,USD
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,0.278381,-,2739684,USD
UNION PACIFIC CORP,UNP,907818108,2914734,0.277785,-,7255720,USD
SCHWAB (CHARLES) CORP,SCHW,808513105,2779397,0.277383,-,19979039,USD
ANALOG DEVICES INC,ADI,032654105,2032067,0.275706,-,5966606,USD
AT+T INC,T,00206R102,2831811,0.270603,-,84913319,USD
AMERICAN EXPRESS CO,AXP,025816109,2026082,0.270219,-,6504296,USD
NEXTERA ENERGY INC,NEE,65339F101,2328915,0.265428,-,25485262,USD
WELLTOWER INC,WELL,95040Q104,BYVYHH4,0.257247,-,8626251,USD
BLACKROCK INC,BLK,09290D101,BMZBBT7,0.256711,-,1764244,USD
QUALCOMM INC,QCOM,747525103,2714923,0.25575,-,12880641,USD
SALESFORCE INC,CRM,79466L302,2310525,0.25428,-,9996698,USD
BOEING CO/THE,BA,097023105,2108601,0.251482,-,9634274,USD
BOOKING HOLDINGS INC,BKNG,09857L108,BDRXDB4,0.250337,-,9469274,USD
UBER TECHNOLOGIES INC,UBER,90353T100,BK6N347,0.247168,-,24875064,USD
PFIZER INC,PFE,717081103,2684703,0.24597,-,69619535,USD
CONOCOPHILLIPS,COP,20825C104,2685717,0.242718,-,14887192,USD
EATON CORP PLC,ETN,G29183103,B8KQN82,0.240135,-,4745455,USD
DEERE + CO,DE,244199105,2261203,0.2394,-,3069636,USD
WESTERN DIGITAL CORP,WDC,958102105,2954699,0.234714,-,4210774,USD
TJX COMPANIES INC,TJX,872540109,2989301,0.233095,-,13513866,USD
NEWMONT CORP,NEM,651639106,2636607,0.217887,-,13037860,USD
VERTEX PHARMACEUTICALS INC,VRTX,92532F100,2931034,0.211922,-,3099750,USD
BRISTOL MYERS SQUIBB CO,BMY,110122108,2126335,0.209481,-,24940512,USD
DANAHER CORP,DHR,235851102,2250870,0.205466,-,7693173,USD
PROLOGIS INC,PLD,74340W103,B44WZD7,0.205242,-,11579445,USD
CAPITAL ONE FINANCIAL CORP,COF,14040H105,2654461,0.203322,-,7603377,USD
INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,0.198914,-,4325805,USD
SERVICENOW INC,NOW,81762P102,B80NXX8,0.197893,-,12600442,USD
S+P GLOBAL INC,SPGI,78409V104,BYV2325,0.197831,-,3702953,USD
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.197342,-,3534443,USD
PROGRESSIVE CORP,PGR,743315103,2705024,0.195994,-,7136268,USD
PARKER HANNIFIN CORP,PH,701094104,2671501,0.193541,-,1539945,USD
CHUBB LTD,CB,H1467J104,B3BQMF6,0.186914,-,4405201,USD
STARBUCKS CORP,SBUX,855244109,2842255,0.182037,-,13918629,USD
LOWE S COS INC,LOW,548661107,2536763,0.181515,-,6839753,USD
CVS HEALTH CORP,CVS,126650100,2577609,0.179016,-,15582422,USD
MEDTRONIC PLC,MDT,G5960L103,BTN1Y11,0.17671,-,15678695,USD
CORNING INC,GLW,219350105,2224701,0.174073,-,9565323,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,0.173844,-,17592110,USD
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.173298,-,7496732,USD
STRYKER CORP,SYK,863667101,2853688,0.172252,-,4213393,USD
ALTRIA GROUP INC,MO,02209S103,2692632,0.171646,-,20390929,USD
AUTOMATIC DATA PROCESSING,ADP,053015103,2065308,0.170693,-,4881185,USD
LOCKHEED MARTIN CORP,LMT,539830109,2522096,0.170636,-,2479409,USD
BANK OF NEW YORK MELLON CORP,BNY,064058100,B1Z77F6,0.169623,-,8381624,USD
ADOBE INC,ADBE,00724F101,2008154,0.167173,-,4935151,USD
MCKESSON CORP,MCK,58155Q103,2378534,0.164348,-,1468353,USD
BLACKSTONE INC,BX,09260D107,BKF2SL7,0.16087,-,9071002,USD
EQUINIX INC,EQIX,29444U700,BVLZX12,0.160054,-,1205724,USD
HOWMET AEROSPACE INC,HWM,443201108,BKLJ8V2,0.159537,-,4885958,USD
MARATHON PETROLEUM CORP,MPC,56585A102,B3K3L40,0.15643,-,3564476,USD
SOUTHERN CO/THE,SO,842587107,2829601,0.153144,-,13764547,USD
VALERO ENERGY CORP,VLO,91913Y100,2041364,0.152612,-,3625316,USD
TRANE TECHNOLOGIES PLC,TT,G8994E103,BK9ZQ96,0.151942,-,2698893,USD
CME GROUP INC,CME,12572Q105,2965839,0.15171,-,4423770,USD
INTUIT INC,INTU,461202103,2459020,0.149591,-,3384057,USD
VERTIV HOLDINGS CO A,VRT,92537N108,BL3LWS8,0.148578,-,4697814,USD
PNC FINANCIAL SERVICES GROUP,PNC,693475105,2692665,0.148022,-,4903404,USD
US BANCORP,USB,902973304,2736035,0.146278,-,18953184,USD
COMCAST CORP CLASS A,CMCSA,20030N101,2044545,0.146115,-,43599619,USD
CSX CORP,CSX,126408103,2160753,0.144847,-,22739213,USD
GENERAL DYNAMICS CORP,GD,369550108,2365161,0.144646,-,3106049,USD
FORTINET INC,FTNT,34959E109,B5B2106,0.144469,-,7602758,USD
PHILLIPS 66,PSX,718546104,B78C4Y8,0.143731,-,4906182,USD
DUKE ENERGY CORP,DUK,26441C204,B7VD3F2,0.143107,-,9517497,USD
