ticker,beta,bad_beta,grid_cell
ABBV,0.232294,0.079250,Low Beta / Low Bad Beta
ABT,0.334546,0.071156,Low Beta / Low Bad Beta
ACGL,(0.143809),(0.071236),Low Beta / Low Bad Beta
AEE,0.193218,0.101751,Low Beta / Low Bad Beta
AFL,0.253377,0.100624,Low Beta / Low Bad Beta
AIG,0.021557,(0.164377),Low Beta / Low Bad Beta
AJG,0.130848,(0.172721),Low Beta / Low Bad Beta
ALL,(0.001017),(0.123103),Low Beta / Low Bad Beta
AMGN,0.097856,(0.112958),Low Beta / Low Bad Beta
AON,0.438290,(0.027827),Low Beta / Low Bad Beta
APA,(0.262949),(0.447329),Low Beta / Low Bad Beta
APD,0.348743,0.034642,Low Beta / Low Bad Beta
ATO,0.210990,0.129016,Low Beta / Low Bad Beta
AWK,0.084970,(0.028887),Low Beta / Low Bad Beta
AZO,0.204607,0.113652,Low Beta / Low Bad Beta
BDX,0.116390,0.060111,Low Beta / Low Bad Beta
BF-B,0.151333,0.032639,Low Beta / Low Bad Beta
BMY,0.417427,(0.007459),Low Beta / Low Bad Beta
BRK-B,0.196105,0.120772,Low Beta / Low Bad Beta
BRO,0.199298,(0.091992),Low Beta / Low Bad Beta
BSX,0.308842,0.084906,Low Beta / Low Bad Beta
CASY,0.048019,0.054322,Low Beta / Low Bad Beta
CB,(0.048291),(0.153762),Low Beta / Low Bad Beta
CBOE,0.246862,(0.073170),Low Beta / Low Bad Beta
CF,(0.141640),(0.185756),Low Beta / Low Bad Beta
CHD,0.449101,0.156822,Low Beta / Low Bad Beta
CHTR,(0.135465),(0.211544),Low Beta / Low Bad Beta
CI,0.028088,0.137514,Low Beta / Low Bad Beta
CINF,0.499668,0.159100,Low Beta / Low Bad Beta
CL,0.252587,0.117232,Low Beta / Low Bad Beta
CMCSA,0.232313,(0.104180),Low Beta / Low Bad Beta
CME,(0.169697),(0.193316),Low Beta / Low Bad Beta
CMS,0.023590,0.026829,Low Beta / Low Bad Beta
CNP,0.045600,0.138082,Low Beta / Low Bad Beta
COP,(0.339099),(0.348048),Low Beta / Low Bad Beta
COR,0.129987,0.093427,Low Beta / Low Bad Beta
CTVA,0.292320,0.115518,Low Beta / Low Bad Beta
CVX,0.023760,(0.277885),Low Beta / Low Bad Beta
DG,0.289472,0.009247,Low Beta / Low Bad Beta
DGX,0.178988,0.100582,Low Beta / Low Bad Beta
DOW,(0.175566),(0.249800),Low Beta / Low Bad Beta
DPZ,0.372095,0.090979,Low Beta / Low Bad Beta
DTE,0.206207,0.091700,Low Beta / Low Bad Beta
DUK,0.011299,(0.000667),Low Beta / Low Bad Beta
DVN,(0.077053),(0.237727),Low Beta / Low Bad Beta
ED,(0.249306),(0.079099),Low Beta / Low Bad Beta
EG,0.005818,(0.082013),Low Beta / Low Bad Beta
EIX,0.190267,(0.063310),Low Beta / Low Bad Beta
EOG,(0.145643),(0.195202),Low Beta / Low Bad Beta
EQT,(0.040211),(0.000081),Low Beta / Low Bad Beta
ERIE,0.307600,0.022296,Low Beta / Low Bad Beta
ETR,0.094736,(0.019212),Low Beta / Low Bad Beta
EXC,(0.191733),(0.007846),Low Beta / Low Bad Beta
EXE,(0.135110),(0.096776),Low Beta / Low Bad Beta
FANG,(0.003647),(0.232449),Low Beta / Low Bad Beta
FAST,0.246533,0.031613,Low Beta / Low Bad Beta
FDS,0.429249,0.034669,Low Beta / Low Bad Beta
FE,(0.003429),0.029770,Low Beta / Low Bad Beta
FIS,0.415487,0.089523,Low Beta / Low Bad Beta
GD,0.050718,(0.022811),Low Beta / Low Bad Beta
GILD,0.165241,(0.060679),Low Beta / Low Bad Beta
GIS,0.159555,0.022888,Low Beta / Low Bad Beta
HAL,0.438274,0.030932,Low Beta / Low Bad Beta
HIG,0.296199,0.027873,Low Beta / Low Bad Beta
HRL,0.229362,0.146005,Low Beta / Low Bad Beta
HSY,0.144031,(0.038412),Low Beta / Low Bad Beta
ICE,0.490427,(0.049920),Low Beta / Low Bad Beta
INTU,0.271503,(0.096609),Low Beta / Low Bad Beta
JKHY,0.147998,(0.137500),Low Beta / Low Bad Beta
JNJ,0.230231,0.037863,Low Beta / Low Bad Beta
KHC,0.153761,(0.046417),Low Beta / Low Bad Beta
KMB,0.303224,0.106411,Low Beta / Low Bad Beta
KMI,0.251598,(0.029182),Low Beta / Low Bad Beta
KO,0.176649,0.093449,Low Beta / Low Bad Beta
KR,(0.165408),(0.012906),Low Beta / Low Bad Beta
L,0.228629,0.026239,Low Beta / Low Bad Beta
LDOS,0.115701,(0.011206),Low Beta / Low Bad Beta
LHX,0.278419,0.043112,Low Beta / Low Bad Beta
LMT,(0.106289),(0.183573),Low Beta / Low Bad Beta
LNT,0.234134,0.068095,Low Beta / Low Bad Beta
LULU,0.325041,(0.165241),Low Beta / Low Bad Beta
LYB,(0.264582),(0.337324),Low Beta / Low Bad Beta
MA,0.496338,0.096756,Low Beta / Low Bad Beta
MCD,0.086776,0.032943,Low Beta / Low Bad Beta
MCK,0.015287,(0.038343),Low Beta / Low Bad Beta
MDLZ,0.110149,0.019693,Low Beta / Low Bad Beta
MDT,0.500287,0.142169,Low Beta / Low Bad Beta
MO,0.244107,0.064125,Low Beta / Low Bad Beta
MOS,0.395771,0.134941,Low Beta / Low Bad Beta
MPC,0.263003,(0.004779),Low Beta / Low Bad Beta
MRSH,0.105156,(0.177106),Low Beta / Low Bad Beta
NEE,0.409571,0.115244,Low Beta / Low Bad Beta
NI,0.290394,0.119281,Low Beta / Low Bad Beta
NOC,(0.331935),(0.265756),Low Beta / Low Bad Beta
OKE,0.279816,(0.027352),Low Beta / Low Bad Beta
ORLY,0.293027,0.137985,Low Beta / Low Bad Beta
OXY,(0.389495),(0.473940),Low Beta / Low Bad Beta
PAYX,0.370404,(0.055869),Low Beta / Low Bad Beta
PCG,(0.082165),(0.185455),Low Beta / Low Bad Beta
PEG,0.261195,0.092890,Low Beta / Low Bad Beta
PEP,0.284202,0.011848,Low Beta / Low Bad Beta
PFE,0.286414,(0.012093),Low Beta / Low Bad Beta
PG,0.343996,0.131088,Low Beta / Low Bad Beta
PGR,(0.087270),(0.032846),Low Beta / Low Bad Beta
PM,0.127806,(0.061840),Low Beta / Low Bad Beta
PNW,0.102737,0.064229,Low Beta / Low Bad Beta
PPL,0.112015,0.083800,Low Beta / Low Bad Beta
REG,0.305189,0.079377,Low Beta / Low Bad Beta
REGN,0.110316,0.005640,Low Beta / Low Bad Beta
RMD,0.414755,0.124738,Low Beta / Low Bad Beta
ROP,0.291416,0.018081,Low Beta / Low Bad Beta
RSG,0.076451,0.070503,Low Beta / Low Bad Beta
RTX,0.232879,(0.037961),Low Beta / Low Bad Beta
SO,0.022197,(0.019750),Low Beta / Low Bad Beta
SRE,0.241640,0.139417,Low Beta / Low Bad Beta
STE,0.475100,0.113446,Low Beta / Low Bad Beta
STZ,0.213329,0.102576,Low Beta / Low Bad Beta
T,(0.251962),(0.318955),Low Beta / Low Bad Beta
TAP,0.398242,0.040256,Low Beta / Low Bad Beta
TMUS,0.026005,(0.152299),Low Beta / Low Bad Beta
TPL,0.217085,0.121766,Low Beta / Low Bad Beta
TRV,0.249827,(0.007839),Low Beta / Low Bad Beta
TSCO,0.321260,0.141594,Low Beta / Low Bad Beta
TSN,0.237587,0.089209,Low Beta / Low Bad Beta
TYL,0.361748,(0.004771),Low Beta / Low Bad Beta
VLO,0.300213,(0.051504),Low Beta / Low Bad Beta
VRSK,0.300998,(0.006194),Low Beta / Low Bad Beta
VRSN,0.086432,0.048837,Low Beta / Low Bad Beta
VTR,0.181535,0.062184,Low Beta / Low Bad Beta
VZ,0.026256,(0.111431),Low Beta / Low Bad Beta
WEC,0.147410,0.122172,Low Beta / Low Bad Beta
WELL,0.344461,0.113024,Low Beta / Low Bad Beta
WM,0.094683,(0.002289),Low Beta / Low Bad Beta
WMB,0.276216,0.076959,Low Beta / Low Bad Beta
WRB,0.090817,0.039817,Low Beta / Low Bad Beta
WTW,(0.077275),(0.347590),Low Beta / Low Bad Beta
XEL,0.166733,0.048380,Low Beta / Low Bad Beta
XOM,(0.312659),(0.315726),Low Beta / Low Bad Beta
YUM,0.189223,0.080848,Low Beta / Low Bad Beta
ZTS,0.427899,(0.013884),Low Beta / Low Bad Beta
