overall_rank,ticker,company,overall_score,factor_coverage,quality_score,quality_rank,fundamental_momentum_score,fundamental_momentum_rank,fundamental_momentum_method,analyst_revisions_score,analyst_revisions_rank,current_quarter_eps_estimate,eps_estimate_30d_ago,eps_revision_30d,revision_status,analyst_count,valuation_score,valuation_rank,conservative_investment_score,conservative_investment_rank,shareholder_yield_score,shareholder_yield_rank,sector,price_date,latest_quarter,latest_annual,data_status,revision_source_url,Column 1,Column 2
1,VLO,VALERO ENERGY CORP/TX,8.256698674,6,8.760869565,20,8.607668411,7,SUE + CAR3,9.865,3,16.19679,13.31476,0.2164537701,OK,17,6.779014036,39,7.539455666,24,6.115107914,61,Energy,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/VLO/analysis/,,
2,TRV,"TRAVELERS COMPANIES, INC.",8.200387776,6,8.891304348,18,8.914241334,6,SUE + CAR3,9.352,11,6.83124,6.36583,0.07311065486,OK,24,7.847826087,22,4.260869565,93,7.604316547,38,Finance,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/TRV/analysis/,,
3,RTX,RTX CORPORATION,8.10635726,6,9.869565217,3,7.896664487,17,SUE + CAR3,8.119,30,1.76732,1.73017,0.02147187849,OK,18,4.204564647,103,6.729630264,37,9.870503597,3,Industrials,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/RTX/analysis/,,
4,COP,ConocoPhillips,8.092761517,6,8.369565217,26,7.549623937,22,SUE + CAR3,9.802,4,2.62383,2.387,0.09921658986,OK,16,7.433926737,26,6.627952756,40,8.251798561,28,Energy,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/COP/analysis/,,
5,ALL,ALLSTATE CORP,7.927475161,6,9.347826087,11,7.869686069,18,SUE + CAR3,9.217,13,6.41686,5.98565,0.07204063051,OK,19,8.532608696,12,4.717391304,81,5.532374101,70,Finance,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/ALL/analysis/,,
6,EXE,EXPAND ENERGY CORPORATION,7.754542726,6,7.260869565,43,7.576602354,20,SUE + CAR3,9.154,14,1.35951,1.28724,0.05614337653,OK,18,9.195586557,5,4.710201986,82,8.769784173,20,Energy,2026-08-26,2026-03-31,2025-12-31,OK,https://finance.yahoo.com/quote/EXE/analysis/,,
7,MPC,Marathon Petroleum Corporation,7.570236034,6,9.608695652,7,5.448741007,67,SUE + CAR3,10,1,19.48631,12.851,0.5163263559,OK,16,7.715263038,24,4.580794249,86,6.956834532,48,Energy,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/MPC/analysis/,,
8,OXY,OCCIDENTAL PETROLEUM CORPORATION,7.440837451,6,6.02173913,62,7.438767168,25,SUE + CAR3,8.956,17,1.2801,1.24306,0.02979743536,OK,17,8.035635627,19,6.182985279,49,9.028776978,16,Energy,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/OXY/analysis/,,
9,AFL,Aflac Incorporated,7.394649236,6,8.108695652,30,5.136036625,74,SUE + CAR3,7.084,46,1.79249,1.77848,0.007877513382,OK,12,8.206521739,18,8.695652174,5,9.223021583,13,Finance,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/AFL/analysis/,,
10,WRB,W. R. BERKLEY CORP,7.346865437,6,8.695652174,21,6.979888816,39,SUE + CAR3,9.028,16,1.12568,1.09083,0.03194814957,OK,15,7.065217391,32,4,96,6.244604317,59,Finance,2026-08-26,2026-06-30,2025-12-31,OK,https://finance.yahoo.com/quote/WRB/analysis/,,
