Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NVIDIA CORP,NVDA,67066G104,2379504,14.658759,-,79071716.000,USD,,,,
APPLE INC,AAPL,037833100,2046251,12.265667,-,47949135.000,USD,,,,
MICROSOFT CORP,MSFT,594918104,2588173,9.959947,-,24251286.000,USD,,,,
BROADCOM INC,AVGO,11135F101,BDZ78H9,4.669943,-,15457054.000,USD,,,,
ADVANCED MICRO DEVICES,AMD,007903107,2007849,3.931550,-,10143005.000,USD,,,,
MICRON TECHNOLOGY INC,MU,595112103,2588184,3.856235,-,5069808.000,USD,,,,
INTEL CORP,INTC,458140100,2463247,2.948303,-,39371359.000,USD,,,,
CISCO SYSTEMS INC,CSCO,17275R102,2198163,2.871335,-,31485112.000,USD,,,,
PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,2.767155,-,18302263.000,USD,,,,
LAM RESEARCH CORP,LRCX,512807306,BSML4N7,2.582400,-,9968404.000,USD,,,,
APPLIED MATERIALS INC,AMAT,038222105,2046552,2.481293,-,6325974.000,USD,,,,
PALO ALTO NETWORKS INC,PANW,697435105,B87ZMX0,2.012545,-,6464541.000,USD,,,,
ORACLE CORP,ORCL,68389X105,2661568,1.671164,-,13525947.000,USD,,,,
TEXAS INSTRUMENTS INC,TXN,882508104,2885409,1.572337,-,7254443.000,USD,,,,
KLA CORP,KLAC,482480100,2480138,1.556000,-,10412513.000,USD,,,,
CROWDSTRIKE HOLDINGS INC   A,CRWD,22788C105,BJJP138,1.504415,-,8115768.000,USD,,,,
INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,1.454753,-,7491933.000,USD,,,,
SANDISK CORP,SNDK,80004C200,BSNPZV3,1.425398,-,1180443.000,USD,,,,
MARVELL TECHNOLOGY INC,MRVL,573874104,BNKJSM5,1.370285,-,6979180.000,USD,,,,
ARISTA NETWORKS INC,ANET,040413205,BL9XPM3,1.345852,-,8230523.000,USD,,,,
SALESFORCE INC,CRM,79466L302,2310525,1.336492,-,6520793.000,USD,,,,
AMPHENOL CORP CL A,APH,032095101,2145084,1.286873,-,9806334.000,USD,,,,
SEAGATE TECHNOLOGY HOLDINGS,STX,G7997R103,BKVD2N4,1.231339,-,1787362.000,USD,,,,
ANALOG DEVICES INC,ADI,032654105,2032067,1.185156,-,3891539.000,USD,,,,
QUALCOMM INC,QCOM,747525103,2714923,1.125752,-,8401540.000,USD,,,,
WESTERN DIGITAL CORP,WDC,958102105,2954699,1.032192,-,2747509.000,USD,,,,
SERVICENOW INC,NOW,81762P102,B80NXX8,0.925374,-,8220685.000,USD,,,,
DELL TECHNOLOGIES  C,DELL,24703L202,BHKD3S6,0.885526,-,2305901.000,USD,,,,
CORNING INC,GLW,219350105,2224701,0.775681,-,6242818.000,USD,,,,
ADOBE INC,ADBE,00724F101,2008154,0.757559,-,3221914.000,USD,,,,
ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.745675,-,4893808.000,USD,,,,
FORTINET INC,FTNT,34959E109,B5B2106,0.697441,-,4964035.000,USD,,,,
INTUIT INC,INTU,461202103,2459020,0.623809,-,2204413.000,USD,,,,
CADENCE DESIGN SYS INC,CDNS,127387108,2302232,0.621351,-,2198569.000,USD,,,,
SYNOPSYS INC,SNPS,871607107,2867719,0.577242,-,1526963.000,USD,,,,
MOTOROLA SOLUTIONS INC,MSI,620076307,B5BKPQ4,0.523502,-,1323184.000,USD,,,,
DATADOG INC   CLASS A,DDOG,23804L103,BKT9Y49,0.520921,-,2637007.000,USD,,,,
LUMENTUM HOLDINGS INC,LITE,55024U109,BYM9ZP2,0.482160,-,620141.000,USD,,,,
HEWLETT PACKARD ENTERPRISE,HPE,42824C109,BYVYWS0,0.467949,-,10576465.000,USD,,,,
MONOLITHIC POWER SYSTEMS INC,MPWR,609839105,B01Z7J1,0.417513,-,391617.000,USD,,,,
TE CONNECTIVITY PLC,TEL,G87052109,BRC3N84,0.384080,-,2326731.000,USD,,,,
TERADYNE INC,TER,880770102,2884183,0.377524,-,1247820.000,USD,,,,
COHERENT CORP,COHR,19247G107,BNG8Z81,0.374589,-,1559479.000,USD,,,,
AUTODESK INC,ADSK,052769106,2065159,0.370327,-,1683100.000,USD,,,,
NXP SEMICONDUCTORS NV,NXPI,N6596X109,B505PN7,0.369607,-,2012431.000,USD,,,,
CIENA CORP,CIEN,171779309,B1FLZ21,0.366471,-,1127102.000,USD,,,,
KEYSIGHT TECHNOLOGIES IN,KEYS,49338L103,BQZJ0Q9,0.362201,-,1367074.000,USD,,,,
ROPER TECHNOLOGIES INC,ROP,776696106,2749602,0.276487,-,804402.000,USD,,,,
FLEX LTD,FLEX,Y2573F102,2353058,0.274780,-,2930732.000,USD,,,,
MICROCHIP TECHNOLOGY INC,MCHP,595017104,2592174,0.264785,-,4313453.000,USD,,,,
WORKDAY INC CLASS A,WDAY,98138H101,B8K6ZD1,0.255591,-,1623785.000,USD,,,,
NETAPP INC,NTAP,64110D104,2630643,0.243843,-,1572960.000,USD,,,,
JABIL INC,JBL,466313103,2471789,0.213516,-,840989.000,USD,,,,
COGNIZANT TECH SOLUTIONS A,CTSH,192446102,2257019,0.195843,-,3777294.000,USD,,,,
ON SEMICONDUCTOR,ON,682189105,2583576,0.190012,-,3123923.000,USD,,,,
TELEDYNE TECHNOLOGIES INC,TDY,879360105,2503477,0.188129,-,369280.000,USD,,,,
HP INC,HPQ,40434L105,BYX4D52,0.175645,-,7289969.000,USD,,,,
FAIR ISAAC CORP,FICO,303250104,2330299,0.173933,-,184862.000,USD,,,,
QNITY ELECTRONICS INC,Q,74743L100,BW1P234,0.171446,-,1668676.000,USD,,,,
VERISIGN INC,VRSN,92343E102,2142922,0.156457,-,652817.000,USD,,,,
F5 INC,FFIV,315616102,2427599,0.150022,-,449737.000,USD,,,,
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.146340,-,856562.000,USD,,,,
SUPER MICRO COMPUTER INC,SMCI,86800U302,BRC3N73,0.140295,-,4485949.000,USD,,,,
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.123358,-,1018335.000,USD,,,,
PTC INC,PTC,69370C100,B95N910,0.118998,-,920663.000,USD,,,,
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,989207105,2989356,0.111489,-,379675.000,USD,,,,
GEN DIGITAL INC,GEN,668771108,BJN4XN5,0.108961,-,4393318.000,USD,,,,
AKAMAI TECHNOLOGIES INC,AKAM,00971T101,2507457,0.104826,-,1158852.000,USD,,,,
TYLER TECHNOLOGIES INC,TYL,902252105,2909644,0.101096,-,336119.000,USD,,,,
TRIMBLE INC,TRMB,896239100,2903958,0.092985,-,1858137.000,USD,,,,
GARTNER INC,IT,366651107,2372763,0.085318,-,533678.000,USD,,,,
GODADDY INC   CLASS A,GDDY,380237107,BWFRFC6,0.083235,-,1055464.000,USD,,,,
SKYWORKS SOLUTIONS INC,SWKS,83088M102,2961053,0.065670,-,1198904.000,USD,,,,
