ticker,beta,bad_beta,grid_cell
APH,1.137552,0.722076,Mid Beta / Mid Bad Beta
AVGO,1.447981,0.752132,Mid Beta / Mid Bad Beta
FICO,1.392908,0.820667,Mid Beta / Mid Bad Beta
GEN,1.667539,0.528572,Mid Beta / Mid Bad Beta
GLW,1.510592,0.999621,Mid Beta / Mid Bad Beta
IBM,1.196866,0.798401,Mid Beta / Mid Bad Beta
JBL,1.145355,0.724206,Mid Beta / Mid Bad Beta
KEYS,1.292642,0.730445,Mid Beta / Mid Bad Beta
MPWR,1.713308,0.814332,Mid Beta / Mid Bad Beta
NTAP,1.735105,0.780914,Mid Beta / Mid Bad Beta
NVDA,1.735273,0.688336,Mid Beta / Mid Bad Beta
PANW,1.261448,0.893726,Mid Beta / Mid Bad Beta
PLTR,1.363771,0.955422,Mid Beta / Mid Bad Beta
SNPS,1.086405,0.517330,Mid Beta / Mid Bad Beta
TXN,1.679485,0.614821,Mid Beta / Mid Bad Beta
ZBRA,1.624637,0.532373,Mid Beta / Mid Bad Beta
ADI,1.292386,0.443253,Mid Beta / Low Bad Beta
CRM,1.117439,0.436676,Mid Beta / Low Bad Beta
HPQ,1.238610,0.384499,Mid Beta / Low Bad Beta
CDNS,1.050852,0.778144,Low Beta / Mid Bad Beta
CSCO,1.039548,0.550231,Low Beta / Mid Bad Beta
NOW,1.037303,0.607198,Low Beta / Mid Bad Beta
AAPL,0.857296,0.353836,Low Beta / Low Bad Beta
ACN,0.729847,0.008380,Low Beta / Low Bad Beta
ADBE,0.890360,0.172254,Low Beta / Low Bad Beta
ADSK,0.855468,0.320428,Low Beta / Low Bad Beta
AKAM,0.272365,0.229209,Low Beta / Low Bad Beta
CDW,0.760975,0.417312,Low Beta / Low Bad Beta
CTSH,0.635085,(0.121080),Low Beta / Low Bad Beta
FFIV,1.031290,0.373294,Low Beta / Low Bad Beta
GDDY,0.889818,0.473954,Low Beta / Low Bad Beta
INTU,0.294758,(0.094287),Low Beta / Low Bad Beta
IT,1.081054,0.268534,Low Beta / Low Bad Beta
MSFT,0.942238,0.280206,Low Beta / Low Bad Beta
MSI,0.535510,0.206485,Low Beta / Low Bad Beta
PTC,0.872809,0.215317,Low Beta / Low Bad Beta
ROP,0.308831,0.021922,Low Beta / Low Bad Beta
TDY,0.899954,0.266968,Low Beta / Low Bad Beta
TEL,0.894356,0.356230,Low Beta / Low Bad Beta
TRMB,0.991878,0.376920,Low Beta / Low Bad Beta
TYL,0.406041,0.005327,Low Beta / Low Bad Beta
VRSN,0.084176,0.048287,Low Beta / Low Bad Beta
WDAY,1.073084,0.439545,Low Beta / Low Bad Beta
ANET,1.749349,0.835274,High Beta / Mid Bad Beta
HPE,1.768165,0.942878,High Beta / Mid Bad Beta
MCHP,1.967524,0.711814,High Beta / Mid Bad Beta
NXPI,2.007960,0.948013,High Beta / Mid Bad Beta
